"iteration","A_time","A_Wind_median","A_Wind_bias","A_Wind_covered","A_Wind_power","A_Thermal_median","A_Thermal_bias","A_Thermal_covered","A_Thermal_power","A_MetaThermal_median","A_MetaThermal_bias","A_MetaThermal_covered","A_MetaThermal_power","B_time","B_MetaThermal_median","B_MetaThermal_bias","B_MetaThermal_covered","B_MetaThermal_power","E_MetaThermal_median","E_MetaThermal_bias","E_MetaThermal_covered","E_MetaThermal_power","E_note","E_time","F_MetaThermal_median","F_MetaThermal_bias","F_MetaThermal_covered","F_MetaThermal_power","F_note","F_time","D_note","D_time","G_time","H_true_pval","H_alt_pval","H_true_accepted","H_alt_rejected","H_correct","I_MetaThermal_median","I_MetaThermal_bias","I_MetaThermal_covered","I_MetaThermal_power","I_Wind_median","I_Wind_bias","I_Wind_covered","I_Wind_power","I_time","J_time"
11,51.4110000000001,-0.647,-0.147,1,1,-1.129,-0.329,1,1,0.599,-0.001,1,1,36.492,0.537,-0.063,1,1,0.604565174700585,0.00456517470058515,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0219999999999345,0.962143941820094,0.362143941820094,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.0589999999999691,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0190000000000055,0,1,1,1,0,0,0.531401869382204,-0.0685981306177964,1,1,-0.663427552734727,-0.163427552734727,1,1,0.0830000000000837,0.000999999999976353
12,53.4969999999998,-0.642,-0.142,1,1,-0.713,0.0870000000000001,1,1,0.561,-0.0389999999999999,1,1,38.1469999999999,0.502,-0.098,1,1,0.556437668213338,-0.0435623317866616,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0209999999999582,0.882905636817036,0.282905636817036,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.0630000000001019,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0239999999998872,0,1,1,1,0,0,0.502435006512251,-0.0975649934877487,1,1,-0.558322680363141,-0.0583226803631407,1,1,0.0750000000000455,0
13,51.7450000000001,-0.444,0.056,1,0,-0.761,0.039,1,1,0.652,0.052,1,1,36.3299999999999,0.622,0.022,1,1,0.669627661177687,0.0696276611776869,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0190000000000055,0.861038793875839,0.261038793875839,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.071999999999889,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0270000000000437,0,1,1,1,0,0,0.618762796088322,0.0187627960883221,1,1,-0.251850477388791,0.248149522611209,1,0,0.118999999999915,0
14,55.087,-0.57,-0.07,1,0,-0.684,0.116,1,1,0.707,0.107,1,1,38.4680000000001,0.69,0.09,1,1,0.723168112218316,0.123168112218316,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0319999999999254,0.897975990138611,0.297975990138611,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.0679999999999836,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0199999999999818,0,1,1,1,0,0,0.694656778968466,0.0946567789684659,1,1,-0.502003706314529,-0.00200370631452895,1,1,0.0909999999998945,0
15,56.759,-0.439,0.061,1,0,-1.005,-0.205,1,1,0.491,-0.109,1,1,42.578,0.471,-0.129,1,1,0.506995451572568,-0.0930045484274319,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.02800000000002,0.766517999285607,0.166517999285607,1,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.0919999999998709,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0289999999999964,0,1,1,1,0,0,0.464832567252056,-0.135167432747944,1,1,-0.440411364470915,0.059588635529085,1,1,0.0930000000000746,0
16,67.4930000000002,-0.676,-0.176,1,1,-0.911,-0.111,1,1,0.653,0.053,1,1,48.2730000000001,0.657,0.057,1,1,0.64250087274253,0.0425008727425306,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0470000000000255,0.857656871901131,0.257656871901131,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.120999999999867,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.081000000000131,0,1,1,1,0,0,0.646959722466754,0.046959722466754,1,1,-0.563750620253516,-0.0637506202535156,1,1,0.132000000000062,0
17,68.065,-0.538,-0.038,1,0,-0.811,-0.011,1,1,0.553,-0.0469999999999999,1,1,48.283,0.541,-0.0589999999999999,1,1,0.578510966224013,-0.0214890337759869,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0840000000000032,0.77684480826351,0.17684480826351,1,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.355999999999995,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0330000000000013,0,1,1,1,0,0,0.541012071577096,-0.0589879284229043,1,1,-1.37048527348303,-0.870485273483029,0,1,0.120000000000005,0.000999999999990564
18,88.653,-0.535,-0.035,1,1,-1.036,-0.236,1,1,0.719,0.119,1,1,68.506,0.701,0.101,1,1,0.738965786510981,0.138965786510981,0,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.183000000000021,0.847524738007301,0.247524738007301,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.524000000000001,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0509999999999877,0,1,1,1,0,0,0.700061633602977,0.100061633602977,1,1,-0.550973390275437,-0.050973390275437,1,1,0.165999999999997,0
19,96.378,-0.328,0.172,1,0,-0.83,-0.0299999999999999,1,1,0.682,0.0820000000000001,1,1,59.567,0.704,0.104,1,1,0.733541237687614,0.133541237687614,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0710000000000264,0.9073002160531,0.3073002160531,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.103999999999985,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0260000000000105,0,1,1,1,0,0,0.701334176301853,0.101334176301853,1,1,-0.311824937851783,0.188175062148217,1,1,0.123999999999967,0
20,94.017,-0.463,0.037,1,0,-1.317,-0.517,1,1,0.72,0.12,1,1,48.197,0.67,0.0700000000000001,1,1,0.751204381170297,0.151204381170297,0,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0889999999999986,0.818394670541142,0.218394670541142,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.370000000000005,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0340000000000202,0,1,1,1,0,0,0.672722919992258,0.0727229199922583,1,1,-0.536276590304943,-0.0362765903049432,1,1,0.143000000000001,0
21,93.857,-0.653,-0.153,1,1,-0.807,-0.00700000000000001,1,1,0.624,0.024,1,1,59.253,0.598,-0.002,1,1,0.681190670417494,0.0811906704174936,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0639999999999645,0.879941476365179,0.279941476365179,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.120000000000005,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0300000000000296,0,1,1,1,0,0,0.597691571715953,-0.00230842828404654,1,1,-0.622228872432431,-0.122228872432431,1,1,0.139999999999986,0
22,85.853,-0.669,-0.169,1,1,-0.827,-0.0269999999999999,1,1,0.516,-0.084,1,1,81.855,0.546,-0.0539999999999999,1,1,0.522139745880899,-0.0778602541191014,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0579999999999927,0.804239553174483,0.204239553174483,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.212000000000046,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0569999999999595,0,1,1,1,0,0,0.543833296729194,-0.0561667032708064,1,1,-0.530086560224813,-0.0300865602248135,1,1,0.33099999999996,0.00300000000004275
23,109.953,-0.591,-0.091,1,1,-0.805,-0.005,1,1,0.4,-0.2,1,0,79.255,0.486,-0.114,1,1,0.329641485988956,-0.270358514011044,0,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.100999999999999,0.710825454460765,0.110825454460765,1,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.201000000000022,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0510000000000446,0,1,1,1,0,0,0.482213221973381,-0.117786778026619,1,1,-0.594818825839075,-0.0948188258390753,1,1,0.221000000000004,0
